7;1092;0.000170089
7;2184;0.000164606
7;16388;0.00017004
7;17472;0.000125836
9;1092;0.000154514
9;2184;0.000149507
9;16388;0.000149589
9;17472;0.000127577
48;32776;0.000123542
112;273;0.000156403
112;1092;0.000153661
112;2176;0.000151893
112;2184;0.000237346
112;32768;0.000133713
112;32776;0.000213632
112;32896;0.000127253
112;34944;0.000165114
144;273;0.000139475
144;1092;0.000136971
144;2176;0.000136705
144;2184;0.000223517
144;32768;0.000124639
144;32776;0.000194417
144;34944;0.000162589
240;32776;0.000123173
256;2184;0.000125128
256;32776;0.00014407
256;34944;0.000133145
512;2184;0.000134438
768;128;0.000183163
768;2048;0.000227226
768;2056;0.000153935
768;2176;0.000197187
768;2184;0.000226485
768;32768;0.000139698
768;32776;0.000247481
768;32896;0.000180725
768;34824;0.000152281
768;34944;0.000146404
1024;2048;0.000160495
1024;2176;0.000152812
1024;2184;0.000261271
1024;32768;0.000129857
1024;32776;0.000265875
1024;32896;0.000136505
1024;34944;0.000128582
1536;128;0.000190178
1536;2048;0.000228516
1536;2056;0.000168004
1536;2176;0.000211202
1536;2184;0.000233952
1536;32768;0.000144402
1536;32776;0.000293984
1536;32896;0.000199372
1536;32904;0.000147018
1536;34824;0.000166892
1536;34944;0.000154684
1536;34952;0.000167545
1792;8;0.000177162
1792;128;0.000151676
1792;136;0.000186528
1792;273;0.000183262
1792;546;0.000194229
1792;1088;0.000138363
1792;1092;0.000218347
1792;2048;0.00020598
1792;2056;0.000262504
1792;2176;0.000247039
1792;2184;0.000357389
1792;2457;0.00014699
1792;4097;0.000123672
1792;8194;0.000144173
1792;16384;0.000127114
1792;16388;0.000205478
1792;17472;0.000154024
1792;32768;0.000264647
1792;32776;0.000421403
1792;32896;0.000221453
1792;32904;0.000188145
1792;34816;0.000191655
1792;34824;0.000197671
1792;34944;0.000334857
1792;34952;0.000176954
1792;36873;0.00015584
1792;39312;0.000149951
2048;128;0.000137236
2048;2048;0.00013408
2048;2056;0.000144905
2048;2176;0.000237777
2048;2184;0.00022294
2048;32768;0.000137236
2048;32776;0.000211771
2048;32896;0.000208607
2048;34944;0.000215329
2048;34952;0.000146304
2304;8;0.000124412
2304;136;0.000130498
2304;273;0.00016728
2304;546;0.000177294
2304;1088;0.000135755
2304;1092;0.000212967
2304;2048;0.000147306
2304;2056;0.000249083
2304;2176;0.000247377
2304;2184;0.000339746
2304;2457;0.000143532
2304;16384;0.00012292
